POGLAVJE,KATEGORIJA,PODKATEGORIJA_4,PODKATEGORIJA_5,SKLOP / 1. NIVO,SKLOP / 2. NIVO,SKLOP / 3. NIVO,RAVEN,KODA,SLOVENSKI NAZIV,KRIŽEC / ETIOLOGIJA,ZVEZDICA / MANIFESTACIJA,VELJAVNOST,KODA DEJAVNA OD,KODA DEJAVNA DO,SPOL,SPOL TIP,STAROST MIN.,STAROST MAX.,STAROST TIP,REDKA DIAGNOZA,MORFOLOGIJA,NESPREJEMLJIVA GLAVNA DIAGNOZA,PRIJAVA NALEZLJIVE BOLEZNI,"PRIJAVA SPO, HIV, HEP B,C","BOLEZNI, KI JIH PREPREČUJEMO S CEPLJENJEM",ENGLISH DESCRIPTION POSTPROCESED
1,A00,,,A00A09,,,3,A00,Kolera,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,1,"Cholera due to Vibrio cholerae 01, biovar cholerae"
1,A00,0,,A00A09,,,4,A00.0,"Kolera, ki jo povzroča Vibrio cholerae 01, biovar cholerae",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,1,"Cholera due to Vibrio cholerae 01, biovar cholerae"
1,A00,1,,A00A09,,,4,A00.1,"Kolera, ki jo povzroča Vibrio cholerae 01, biovar eltor",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,1,"Cholera due to Vibrio cholerae 01, biovar eltor"
1,A00,9,,A00A09,,,4,A00.9,"Kolera, neopredeljena",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,1,"Cholera, unspecified"
1,A01,,,A00A09,,,3,A01,Tifus in paratifus,0,0,0,1995-01-01 00:00:00,,,,,,,0,0,0,1,0,0,Typhoid fever
1,A01,0,,A00A09,,,4,A01.0,Tifus,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,1,Typhoid fever
1,A01,1,,A00A09,,,4,A01.1,Paratifus,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Paratyphoid fever A
1,A01,2,,A00A09,,,4,A01.2,Paratifus B,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Paratyphoid fever B
1,A01,3,,A00A09,,,4,A01.3,Paratifus C,0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,Paratyphoid fever C
1,A01,4,,A00A09,,,4,A01.4,"Paratifus, neopredeljen",0,0,1,1995-01-01 00:00:00,,,,,,,1,0,0,1,0,0,"Paratyphoid fever, unspecified"
